expression,result
89^2,7921
69 + 101,170
4^2,16
(71 + 31) * 17,1734
59 * 51,3009
(63 + 11) * (22 - 20),148
42^2,1764
88^2,7744
31 * 24,744
69 * 79,5451
68 * 47,3196
28^2,784
36 + 79,115
80 + 62,142
94 * 38,3572
35 + 46,81
38 * 70,2660
62 + 86,148
99 * 77,7623
90^2,8100
76 - 64,12
(94 + 83) * 77,13629
90 - 90,0
(1 + 7) * (52 - 17),280
88 * 64,5632
30^2,900
9 - 2,7
(84 + 56) * 33,4620
34 + 26,60
20 * 35,700
70 - 24,46
(2 + 71) * 21,1533
68 * 90,6120
18 * 41,738
42 + 82,124
21 * 96,2016
88 * 39,3432
85 - 25,60
(79 + 36) * 63,7245
12 * 37,444
(5 + 69) * 5,370
48^2,2304
90 * 41,3690
30 + 58,88
35 * 12,420
97^2,9409
23 * 85,1955
96 + 25,121
59 * 66,3894
21 * 71,1491
95^2,9025
70^2,4900
80 * 32,2560
(15 + 84) * (99 - 46),5247
89^2,7921
53^2,2809
(29 + 54) * 1,83
50 * 103,5150
45 * 42,1890
84 * 45,3780
(45 + 65) * 78,8580
47^2,2209
57^2,3249
(29 + 98) * (21 - 2),2413
63 + 24,87
57 * 36,2052
57^2,3249
75 - 40,35
53^2,2809
98 - 92,6
54^2,2916
60 + 83,143
(50 + 44) * (98 - 32),6204
(37 + 47) * 49,4116
52 + 40,92
11^2,121
30 + 27,57
88 - 65,23
42 + 62,104
13 * 24,312
97 * 51,4947
(25 + 41) * 29,1914
83^2,6889
25 * 54,1350
44 + 28,72
(80 + 67) * 63,9261
56 * 45,2520
(20 + 67) * (87 - 34),4611
(65 + 1) * 43,2838
92 + 64,156
70 * 29,2030
98 - 18,80
(29 + 83) * (91 - 87),448
95 * 14,1330
26^2,676
73^2,5329
61^2,3721
47 + 93,140
44 * 26,1144
13 + 86,99
23 + 88,111
64 - 14,50
(82 + 68) * (86 - 24),9300
(69 + 12) * (91 - 33),4698
17 + 20,37
73 * 101,7373
76^2,5776
(44 + 71) * 5,575
88^2,7744
23 + 14,37
72 * 55,3960
86 * 49,4214
38 + 39,77
85 * 94,7990
82 - 20,62
77 * 43,3311
68 * 17,1156
54^2,2916
(32 + 60) * 87,8004
99^2,9801
75 + 40,115
65 * 49,3185
44 - 35,9
15^2,225
97 + 26,123
81^2,6561
88 * 82,7216
(86 + 38) * (75 - 50),3100
(10 + 54) * 74,4736
55 + 45,100
47^2,2209
93 + 65,158
60 + 96,156
35 + 70,105
63^2,3969
83 - 36,47
72^2,5184
71 + 51,122
11^2,121
84 * 80,6720
67 * 42,2814
81^2,6561
50^2,2500
27^2,729
(13 + 51) * 95,6080
31 * 31,961
(46 + 79) * 85,10625
39 + 40,79
31^2,961
97^2,9409
71 + 27,98
15 + 47,62
(46 + 76) * 12,1464
59 + 87,146
67 - 57,10
(92 + 73) * (82 - 82),0
32^2,1024
28 * 41,1148
(31 + 31) * (42 - 12),1860
(10 + 34) * 4,176
54 - 18,36
44^2,1936
(78 + 17) * (75 - 58),1615
(66 + 24) * 2,180
31^2,961
34 * 46,1564
74^2,5476
(18 + 72) * 83,7470
10 + 80,90
63 + 69,132
84 - 83,1
54 * 36,1944
78 + 62,140
(68 + 22) * (65 - 11),4860
31 - 30,1
90 + 90,180
71^2,5041
54 + 10,64
82 * 76,6232
72^2,5184
(67 + 39) * (87 - 24),6678
72^2,5184
56^2,3136
88 * 91,8008
33 * 14,462
81 - 31,50
61 + 27,88
71 - 34,37
76 + 21,97
44 + 26,70
(30 + 32) * 38,2356
97 + 26,123
40 * 67,2680
(56 + 55) * (59 - 23),3996
13 * 26,338
(41 + 79) * 18,2160
90^2,8100
78 - 36,42
70 * 47,3290
57 - 52,5
70 * 72,5040
96^2,9216
72 * 18,1296
(15 + 8) * (78 - 26),1196
24 + 71,95
(42 + 68) * (29 - 5),2640
(71 + 48) * (27 - 17),1190
95 - 88,7
70 * 84,5880
65 * 23,1495
(64 + 82) * 68,9928
86^2,7396
56^2,3136
(35 + 82) * (45 - 25),2340
62 + 17,79
86 + 68,154
39^2,1521
89^2,7921
27 + 45,72
13^2,169
37 + 94,131
62 - 35,27
55 + 61,116
30^2,900
92 + 81,173
82 + 55,137
83^2,6889
26^2,676
(59 + 48) * (57 - 47),1070
47 + 29,76
15 * 56,840
78 - 63,15
91 * 93,8463
76^2,5776
23^2,529
68^2,4624
57 + 78,135
35 + 82,117
6 * 12,72
98^2,9604
66 * 17,1122
18^2,324
78 * 59,4602
63^2,3969
34^2,1156
(57 + 31) * (81 - 54),2376
71^2,5041
79^2,6241
89 * 94,8366
(25 + 78) * 63,6489
70 + 51,121
50^2,2500
59 - 16,43
25 + 85,110
58^2,3364
(99 + 22) * 85,10285
66 - 34,32
34^2,1156
60 - 60,0
12 + 17,29
59^2,3481
54 + 17,71
76 * 17,1292
92^2,8464
23 * 68,1564
70 * 75,5250
(31 + 1) * 83,2656
66 * 57,3762
24 * 71,1704
99 - 29,70
(45 + 99) * 51,7344
(42 + 11) * (78 - 60),954
15^2,225
93 * 89,8277
31 - 23,8
37 + 98,135
(65 + 47) * 28,3136
82 * 86,7052
37 + 55,92
(63 + 84) * 42,6174
64 * 83,5312
76^2,5776
(52 + 16) * 76,5168
10 + 72,82
42 * 62,2604
69 + 45,114
92 * 72,6624
41 * 12,492
77 * 46,3542
(55 + 8) * (57 - 16),2583
91 - 28,63
57^2,3249
12 * 62,744
65^2,4225
64 * 83,5312
(73 + 24) * 47,4559
31 + 77,108
(80 + 97) * 6,1062
(79 + 39) * 53,6254
86 + 38,124
27^2,729
82 * 46,3772
95 - 52,43
(63 + 77) * 48,6720
67 + 42,109
69 * 27,1863
97^2,9409
37 * 68,2516
57^2,3249
39 + 89,128
48 - 45,3
60^2,3600
70 + 21,91
49 + 80,129
34 * 82,2788
31 * 33,1023
12 * 31,372
98 + 18,116
52^2,2704
(34 + 50) * 40,3360
33 * 61,2013
93 - 64,29
11 + 75,86
13^2,169
20^2,400
54^2,2916
20 + 102,122
(98 + 52) * (76 - 68),1200
(86 + 25) * 40,4440
71 - 69,2
87 - 18,69
95 * 15,1425
22 * 90,1980
(91 + 59) * 84,12600
24 + 33,57
43^2,1849
(68 + 45) * (65 - 63),226
27^2,729
(54 + 72) * (21 - 15),756
28 + 32,60
79^2,6241
18 + 54,72
76 + 98,174
37 * 47,1739
(34 + 72) * 23,2438
30 + 39,69
44 + 56,100
51^2,2601
16 + 18,34
18 + 39,57
71^2,5041
88 + 95,183
64 - 19,45
(34 + 30) * (29 - 19),640
76 * 54,4104
99^2,9801
71^2,5041
88 + 80,168
90^2,8100
42 * 92,3864
27 * 56,1512
64 + 83,147
97 + 99,196
57 + 36,93
(22 + 13) * 57,1995
(22 + 6) * 83,2324
32 * 76,2432
12 + 85,97
82 + 96,178
62 * 46,2852
(83 + 16) * (82 - 72),990
97 + 45,142
46 + 74,120
55^2,3025
39 - 18,21
55 * 21,1155
(90 + 34) * (22 - 21),124
48 * 70,3360
35^2,1225
74 + 21,95
52 + 25,77
85 - 59,26
75 - 53,22
(87 + 61) * (33 - 7),3848
32 * 15,480
28 + 57,85
42^2,1764
(12 + 73) * 22,1870
73^2,5329
85 - 83,2
23^2,529
(71 + 12) * 76,6308
69 + 17,86
93^2,8649
15 + 59,74
(88 + 53) * 5,705
56 * 37,2072
(77 + 98) * 19,3325
76^2,5776
88 + 65,153
19 * 73,1387
36 * 47,1692
77 + 43,120
25 + 54,79
90 - 28,62
38 + 91,129
52^2,2704
(15 + 28) * (62 - 15),2021
85 * 43,3655
62 - 17,45
37 - 29,8
14 + 40,54
69 - 54,15
93^2,8649
18 + 47,65
(96 + 40) * (59 - 5),7344
48^2,2304
(48 + 28) * (69 - 33),2736
12 + 54,66
80 + 34,114
45 - 15,30
95^2,9025
43 + 30,73
(13 + 41) * (51 - 39),648
(59 + 84) * 74,10582
65^2,4225
(35 + 74) * 84,9156
95 * 20,1900
32 - 11,21
35^2,1225
(79 + 46) * 44,5500
97 + 73,170
12^2,144
71 + 99,170
52 - 30,22
95 + 36,131
21 * 18,378
29^2,841
26^2,676
12 + 65,77
(84 + 19) * 9,927
(22 + 79) * (87 - 61),2626
(70 + 1) * (44 - 40),284
99 + 88,187
98 + 40,138
(48 + 4) * (98 - 17),4212
(48 + 3) * (15 - 14),51
(7 + 57) * (44 - 7),2368
19 * 64,1216
21^2,441
73 - 17,56
47 * 48,2256
12 * 64,768
13 + 70,83
(18 + 33) * (35 - 9),1326
68 - 51,17
54 * 75,4050
40 / 40,1
(44 + 33) * 59,4543
75 + 34,109
76^2,5776
12 * 43,516
57 - 54,3
70 + 21,91
(96 + 46) * 40,5680
63 + 59,122
62 + 77,139
97 - 70,27
87 - 60,27
75^2,5625
51 - 30,21
31 * 44,1364
36 + 41,77
82 - 25,57
38^2,1444
27 * 54,1458
26^2,676
50 - 34,16
66 * 82,5412
26 * 69,1794
80 - 80,0
(56 + 61) * (39 - 26),1521
87 - 36,51
24 - 22,2
84 - 44,40
77 * 67,5159
97 - 61,36
41 * 50,2050
10 * 100,1000
(45 + 29) * 85,6290
(31 + 58) * (69 - 27),3738
12 + 15,27
26^2,676
(94 + 61) * (80 - 13),10385
51 + 22,73
97 + 56,153
23 + 41,64
19 + 33,52
33 * 84,2772
16 + 87,103
(11 + 13) * (53 - 8),1080
(61 + 30) * 14,1274
44^2,1936
19 + 68,87
15 * 81,1215
(60 + 92) * (84 - 30),8208
94 + 89,183
(17 + 28) * 92,4140
86 + 14,100
(74 + 51) * 14,1750
28 * 66,1848
68 + 88,156
(59 + 48) * 76,8132
32 * 47,1504
34 * 78,2652
56^2,3136
77^2,5929
12^2,144
67 * 86,5762
98 * 62,6076
25 * 14,350
33^2,1089
6^2,36
(5 + 59) * 7,448
75^2,5625
40^2,1600
93 - 23,70
25^2,625
86 + 90,176
73 + 93,166
(72 + 59) * 81,10611
78 - 40,38
(98 + 11) * (62 - 4),6322
48 + 45,93
(18 + 17) * 15,525
(55 + 37) * 7,644
34 + 26,60
56 * 63,3528
73 * 57,4161
60 + 93,153
(63 + 22) * 18,1530
(75 + 5) * 79,6320
(2 + 31) * 71,2343
91 - 35,56
(71 + 66) * (91 - 72),2603
39^2,1521
10^2,100
98 + 87,185
41 * 31,1271
18 * 54,972
76 - 56,20
(2 + 80) * (63 - 10),4346
(45 + 79) * 46,5704
(19 + 39) * 59,3422
(2 + 63) * (42 - 4),2470
25 + 76,101
(73 + 39) * 49,5488
14 + 100,114
27 + 98,125
23 + 66,89
30^2,900
48 * 51,2448
93 + 69,162
19 * 96,1824
24 + 90,114
57^2,3249
98 - 87,11
91 * 62,5642
90 + 47,137
17 * 13,221
69 - 54,15
(1 + 61) * 97,6014
71 + 24,95
40^2,1600
93^2,8649
69^2,4761
(94 + 16) * 53,5830
15 + 86,101
48 + 54,102
(35 + 89) * 14,1736
31 * 51,1581
88 + 93,181
74 + 82,156
(75 + 36) * (74 - 70),444
46 - 33,13
(12 + 70) * 43,3526
(6 + 1) * 1,7
64 + 35,99
(20 + 5) * 76,1900
13 + 94,107
(61 + 3) * (78 - 62),1024
76 + 28,104
(6 + 25) * (83 - 22),1891
(51 + 58) * 4,436
88 * 76,6688
71^2,5041
10 * 39,390
96 + 81,177
74 + 49,123
(42 + 1) * 5,215
(67 + 80) * 71,10437
23 + 68,91
26 * 62,1612
33 + 81,114
(81 + 72) * (91 - 50),6273
70 + 63,133
48 - 15,33
44 + 90,134
94^2,8836
77 + 46,123
52^2,2704
74 * 18,1332
(55 + 45) * (46 - 4),4200
(75 + 98) * (59 - 33),4498
(15 + 43) * (67 - 43),1392
14 + 58,72
26 + 13,39
42^2,1764
97 * 93,9021
(76 + 48) * (83 - 24),7316
81^2,6561
47 + 43,90
48 + 90,138
60 + 37,97
16^2,256
48 * 32,1536
46 * 22,1012
57 + 52,109
61 + 29,90
23^2,529
(70 + 60) * (86 - 27),7670
98 - 82,16
(97 + 64) * 33,5313
32 + 89,121
48^2,2304
(36 + 85) * 33,3993
93 * 34,3162
94^2,8836
(31 + 61) * (81 - 54),2484
69^2,4761
16 + 65,81
76^2,5776
64^2,4096
83 * 44,3652
62 - 14,48
64^2,4096
98 - 43,55
97 + 70,167
32^2,1024
(58 + 11) * (98 - 40),4002
(96 + 33) * 26,3354
(20 + 28) * (59 - 49),480
25^2,625
(72 + 25) * 79,7663
89^2,7921
(56 + 4) * 89,5340
38 * 76,2888
(14 + 18) * 19,608
88 - 82,6
(15 + 40) * 44,2420
61 - 24,37
22 - 21,1
42 * 92,3864
29^2,841
84^2,7056
97 * 99,9603
94^2,8836
55^2,3025
(35 + 44) * 58,4582
26 + 99,125
62 + 89,151
84 - 34,50
78^2,6084
88^2,7744
50^2,2500
60 * 72,4320
15^2,225
18^2,324
46 + 95,141
87 * 18,1566
72 - 45,27
24 - 23,1
94 - 14,80
83^2,6889
86^2,7396
(19 + 18) * 12,444
69 * 101,6969
(68 + 55) * (90 - 37),6519
47 * 77,3619
50^2,2500
94^2,8836
77^2,5929
28 + 93,121
65 - 23,42
28 + 44,72
(54 + 57) * 86,9546
86 + 70,156
61 + 80,141
(10 + 87) * 8,776
(9 + 64) * 37,2701
57 * 66,3762
45 * 45,2025
60 + 94,154
95^2,9025
34 * 26,884
97^2,9409
59 + 72,131
(52 + 34) * 70,6020
84 * 43,3612
11 * 77,847
19 * 33,627
78 + 35,113
76 * 83,6308
82 - 46,36
(20 + 42) * (90 - 60),1860
39 * 93,3627
(23 + 67) * 71,6390
27 * 74,1998
(45 + 21) * 59,3894
61 - 25,36
88 + 44,132
75 + 66,141
27^2,729
57 * 89,5073
(63 + 99) * (73 - 54),3078
96 * 81,7776
18 * 47,846
90 - 22,68
60 * 33,1980
90 - 41,49
55 * 63,3465
63^2,3969
89 * 59,5251
53 * 81,4293
50^2,2500
(60 + 35) * (67 - 9),5510
(14 + 92) * (95 - 57),4028
70 * 96,6720
(19 + 69) * 35,3080
60 * 98,5880
78^2,6084
(50 + 93) * (93 - 4),12727
72 * 38,2736
86 * 71,6106
96^2,9216
(25 + 97) * 30,3660
47 * 90,4230
(71 + 14) * 9,765
26 + 69,95
19 + 65,84
(23 + 85) * 44,4752
43^2,1849
(16 + 37) * (49 - 13),1908
17 * 81,1377
86 - 71,15
(80 + 80) * 20,3200
77 * 67,5159
80^2,6400
61 + 69,130
72 - 12,60
46 * 82,3772
(93 + 89) * 48,8736
50 + 69,119
22 * 83,1826
(68 + 9) * 89,6853
(44 + 89) * (75 - 6),9177
22 * 100,2200
71 - 51,20
84 * 34,2856
90 * 96,8640
24 * 90,2160
24 + 23,47
(8 + 4) * 9,108
(75 + 23) * (44 - 24),1960
(29 + 99) * 82,10496
(93 + 22) * 8,920
98 * 14,1372
35 - 27,8
24 * 37,888
(78 + 94) * 36,6192
23 + 64,87
(35 + 41) * (65 - 54),836
76 - 22,54
70 * 21,1470
55^2,3025
3 * 10,30
51 * 30,1530
97 * 93,9021
67^2,4489
44^2,1936
67 + 88,155
83 + 36,119
15^2,225
74 + 60,134
84^2,7056
46 * 67,3082
14 * 89,1246
76^2,5776
(15 + 57) * (56 - 34),1584
10 + 33,43
19 * 11,209
(72 + 23) * 4,380
71 - 61,10
26^2,676
(63 + 82) * (42 - 41),145
60^2,3600
8 - 7,1
(10 + 75) * (45 - 37),680
13 * 12,156
42 + 92,134
22 + 56,78
29 + 30,59
(4 + 64) * (77 - 44),2244
83 + 40,123
59 * 64,3776
63 + 73,136
80^2,6400
12^2,144
75 + 53,128
93 - 39,54
47^2,2209
(29 + 73) * 95,9690
23 - 17,6
24 + 59,83
(85 + 30) * (81 - 14),7705
40 + 38,78
39 - 20,19
(87 + 24) * 85,9435
59 - 44,15
41^2,1681
80 - 32,48
56 + 62,118
18 + 74,92
14 * 44,616
(71 + 15) * (22 - 14),688
37^2,1369
25 + 13,38
(89 + 1) * 38,3420
67 + 42,109
24 * 53,1272
80 + 81,161
21 + 75,96
46 - 16,30
56 * 24,1344
(71 + 79) * (98 - 37),9150
79^2,6241
(86 + 64) * 74,11100
(86 + 27) * (90 - 87),339
79 * 76,6004
25 * 82,2050
(80 + 45) * 16,2000
(96 + 19) * 54,6210
33 + 64,97
(37 + 49) * (73 - 57),1376
84^2,7056
86 * 47,4042
(77 + 5) * 79,6478
16 * 94,1504
14 * 51,714
76^2,5776
(31 + 30) * (95 - 76),1159
17 * 82,1394
85^2,7225
37 * 87,3219
43 + 90,133
60 * 48,2880
12^2,144
53 * 88,4664
54 + 38,92
(9 + 79) * 79,6952
70^2,4900
65 * 21,1365
(65 + 94) * 34,5406
19 + 97,116
87 * 19,1653
70^2,4900
57 + 14,71
73 * 17,1241
40 + 40,80
76 * 92,6992
67^2,4489
97 - 46,51
(42 + 43) * 84,7140
(32 + 48) * (89 - 57),2560
49 + 36,85
67^2,4489
(26 + 68) * 2,188
20 + 31,51
37 + 29,66
71 * 92,6532
41 * 95,3895
21 - 18,3
(8 + 30) * 18,684
28^2,784
53 + 93,146
53 - 31,22
62 - 41,21
52 * 25,1300
21 + 65,86
16 + 43,59
14 * 18,252
96^2,9216
(3 + 47) * (77 - 9),3400
37^2,1369
(61 + 9) * (74 - 64),700
80 - 53,27
97 - 13,84
67 + 49,116
97 + 73,170
30 * 13,390
55^2,3025
43 * 77,3311
93 - 74,19
52 - 20,32
63 - 39,24
59 * 91,5369
75 * 87,6525
30^2,900
56 * 37,2072
45^2,2025
53 * 93,4929
22 + 62,84
83 - 72,11
26 * 11,286
33 + 68,101
26^2,676
32 * 47,1504
14 + 67,81
9 * 10,90
94 * 17,1598
61 * 57,3477
58 + 86,144
55^2,3025
95 - 35,60
54^2,2916
43^2,1849
(50 + 39) * 51,4539
59 + 51,110
92 + 78,170
85 - 74,11
(88 + 61) * (76 - 12),9536
(18 + 38) * 41,2296
48 + 32,80
67 + 57,124
51 + 62,113
86^2,7396
91^2,8281
14 * 21,294
21 * 80,1680
80^2,6400
67 + 62,129
90^2,8100
(53 + 2) * (50 - 33),935
99 + 33,132
89 - 57,32
99 + 83,182
13 + 45,58
89 + 59,148
14^2,196
65 * 34,2210
95 + 93,188
30 - 27,3
53 - 46,7
91 - 84,7
35 + 75,110
46^2,2116
(99 + 68) * 99,16533
15^2,225
92 + 17,109
80^2,6400
24^2,576
12 + 70,82
73 * 74,5402
47^2,2209
10 * 72,720
69 * 54,3726
43 + 86,129
(62 + 81) * 75,10725
(96 + 81) * 11,1947
(90 + 63) * 59,9027
74 - 70,4
56 * 94,5264
72 + 98,170
98 + 52,150
40^2,1600
48^2,2304
93 * 86,7998
21 + 48,69
43 * 87,3741
67 * 42,2814
90^2,8100
(8 + 4) * 70,840
85 - 43,42
64 - 33,31
71^2,5041
31^2,961
40^2,1600
(30 + 83) * 49,5537
11^2,121
69 + 27,96
(57 + 89) * (57 - 18),5694
30^2,900
86 - 30,56
91 + 57,148
81 + 65,146
73 - 72,1
(8 + 31) * (72 - 64),312
48 * 61,2928
(48 + 69) * 2,234
72 + 31,103
(11 + 83) * 37,3478
90^2,8100
38 + 12,50
17^2,289
28 * 38,1064
90 + 99,189
46^2,2116
79^2,6241
42 + 92,134
88 - 39,49
15^2,225
92 * 76,6992
91 * 57,5187
55 + 27,82
44^2,1936
73 * 74,5402
(32 + 40) * 63,4536
58 * 72,4176
92 - 66,26
(92 + 10) * 51,5202
49^2,2401
(21 + 23) * (67 - 27),1760
36 * 69,2484
(86 + 55) * (53 - 15),5358
81 * 31,2511
12 + 29,41
85 + 19,104
19^2,361
47^2,2209
92^2,8464
(77 + 19) * (52 - 50),192
79 * 98,7742
61 + 38,99
(82 + 45) * (31 - 18),1651
64^2,4096
19 + 22,41
98 * 40,3920
20^2,400
(10 + 3) * 76,988
76 + 80,156
(57 + 84) * (29 - 3),3666
81 * 72,5832
36^2,1296
97 - 93,4
34^2,1156
80 - 64,16
59^2,3481
86^2,7396
(74 + 76) * 42,6300
95^2,9025
42 * 59,2478
76 + 36,112
48 * 12,576
38 * 86,3268
(68 + 84) * (83 - 53),4560
54 + 55,109
(81 + 8) * 41,3649
83^2,6889
(59 + 42) * 91,9191
(7 + 17) * 68,1632
49 * 17,833
19 + 69,88
44^2,1936
60 / 60,1
22^2,484
60 * 17,1020
92 * 87,8004
(46 + 66) * 84,9408
(73 + 51) * (94 - 37),7068
75 * 40,3000
(93 + 75) * 60,10080
74 * 55,4070
43 * 98,4214
78^2,6084
6 - 5,1
(70 + 86) * 91,14196
42 + 32,74
73 * 95,6935
73 + 57,130
29^2,841
(27 + 85) * 87,9744
(26 + 85) * 39,4329
35 * 99,3465
91^2,8281
74 * 82,6068
44 + 21,65
(76 + 36) * 8,896
45 * 69,3105
41^2,1681
33^2,1089
17^2,289
65 - 49,16
96 + 91,187
15 + 83,98
54 - 26,28
67^2,4489
(24 + 25) * (50 - 29),1029
86 - 26,60
90 + 44,134
90^2,8100
41^2,1681
11^2,121
26 + 68,94
(87 + 79) * (15 - 6),1494
69^2,4761
92 * 64,5888
80 + 56,136
(1 + 3) * (87 - 25),248
(67 + 53) * 25,3000
(60 + 34) * 57,5358
8 + 7,15
78 + 40,118
(28 + 56) * 37,3108
(4 + 91) * 28,2660
75 - 29,46
83 - 17,66
(22 + 75) * 47,4559
12 + 62,74
75^2,5625
48 + 15,63
97 * 17,1649
78 * 38,2964
99 - 38,61
57^2,3249
(52 + 62) * (84 - 15),7866
(79 + 76) * 24,3720
17^2,289
34^2,1156
92 * 29,2668
(8 + 13) * 32,672
77 * 59,4543
50 * 65,3250
25^2,625
11^2,121
(70 + 16) * 75,6450
50^2,2500
86^2,7396
41 + 95,136
(83 + 52) * 30,4050
47 + 63,110
90 + 96,186
35^2,1225
36 * 22,792
58^2,3364
18^2,324
39^2,1521
(5 + 94) * (97 - 40),5643
20^2,400
61 * 96,5856
(99 + 70) * 63,10647
25 * 22,550
(18 + 83) * 15,1515
24^2,576
16 * 74,1184
31 - 31,0
(35 + 21) * (76 - 43),1848
(37 + 14) * 64,3264
(59 + 92) * 62,9362
87 - 59,28
94 + 38,132
30 + 96,126
44^2,1936
33 * 61,2013
64^2,4096
(66 + 89) * (71 - 38),5115
86 - 70,16
(83 + 91) * 1,174
40 * 18,720
(18 + 59) * (42 - 6),2772
73^2,5329
69 * 65,4485
(47 + 49) * (55 - 33),2112
(60 + 46) * 38,4028
64 + 26,90
(7 + 25) * (75 - 50),800
(87 + 68) * 1,155
35^2,1225
70 + 63,133
4^2,16
69 + 54,123
97 - 17,80
(38 + 78) * 26,3016
3^2,9
63 * 65,4095
58 + 72,130
86^2,7396
52 - 14,38
40 + 79,119
82^2,6724
(67 + 66) * 97,12901
16^2,256
54 + 73,127
11^2,121
64^2,4096
84 - 80,4
50^2,2500
(51 + 1) * (70 - 5),3380
49^2,2401
33 * 79,2607
19^2,361
63 + 81,144
88 + 29,117
56^2,3136
46^2,2116
49^2,2401
64^2,4096
(81 + 32) * (70 - 5),7345
39 * 30,1170
24^2,576
73 + 17,90
50 + 39,89
57 * 41,2337
(45 + 22) * 36,2412
56 + 76,132
43^2,1849
96 + 86,182
41 + 70,111
74 * 26,1924
36 + 31,67
92 - 81,11
20 + 71,91
(87 + 91) * 87,15486
67 * 11,737
74^2,5476
36 + 36,72
63 + 53,116
(84 + 55) * 58,8062
24^2,576
(12 + 46) * 84,4872
(95 + 56) * 10,1510
71 * 100,7100
91 + 86,177
(74 + 7) * (21 - 8),1053
(12 + 98) * 46,5060
90 + 21,111
63 - 50,13
69^2,4761
35^2,1225
98^2,9604
(44 + 98) * (67 - 25),5964
80^2,6400
34 * 61,2074
81^2,6561
34^2,1156
(3 + 38) * (93 - 84),369
91 - 43,48
59 + 44,103
82 * 96,7872
94 + 34,128
98^2,9604
6 - 4,2
84 - 51,33
80 - 26,54
64 * 39,2496
(71 + 78) * (53 - 52),149
24^2,576
91 * 69,6279
12^2,144
(23 + 92) * 6,690
93^2,8649
63 + 50,113
85 + 25,110
78 * 62,4836
(9 + 54) * (89 - 76),819
36 - 31,5
64^2,4096
80^2,6400
25^2,625
36 * 36,1296
52 + 52,104
(66 + 7) * (60 - 38),1606
52^2,2704
82 * 23,1886
64 + 72,136
81 / 27,3
41 + 68,109
(15 + 11) * 18,468
62^2,3844
67^2,4489
(15 + 98) * 74,8362
65 - 32,33
94^2,8836
87 - 35,52
63^2,3969
11 * 75,825
72 - 70,2
54 + 26,80
13 + 50,63
61 * 23,1403
14^2,196
87^2,7569
96 + 76,172
33 * 53,1749
92^2,8464
(14 + 31) * (90 - 1),4005
83 - 26,57
71 * 34,2414
23^2,529
76 * 28,2128
59 + 16,75
(21 + 74) * (69 - 68),95
45^2,2025
22^2,484
97 + 101,198
88 * 44,3872
76^2,5776
(19 + 13) * (89 - 74),480
(27 + 84) * (88 - 11),8547
36^2,1296
79^2,6241
64 * 97,6208
78 + 85,163
34^2,1156
19 + 33,52
(4 + 41) * 36,1620
(81 + 35) * 53,6148
(81 + 67) * (86 - 35),7548
89 * 57,5073
44^2,1936
82 + 23,105
(87 + 12) * 30,2970
57^2,3249
89 - 24,65
13 + 96,109
78 * 44,3432
48^2,2304
(90 + 36) * (98 - 86),1512
26 * 89,2314
(77 + 31) * (55 - 42),1404
93 + 91,184
64 - 35,29
(85 + 64) * 64,9536
(23 + 89) * (79 - 55),2688
(76 + 85) * 41,6601
66 * 94,6204
12^2,144
35 * 44,1540
36 / 36,1
71 + 55,126
89 * 27,2403
74 + 96,170
16 * 18,288
(95 + 93) * 23,4324
33^2,1089
(89 + 80) * 32,5408
48 + 51,99
97 * 64,6208
(27 + 7) * 89,3026
(18 + 12) * 14,420
53 + 98,151
13 * 17,221
(7 + 25) * (30 - 25),160
73 - 54,19
83^2,6889
62 * 56,3472
(33 + 27) * 97,5820
97^2,9409
48^2,2304
76^2,5776
(59 + 18) * 99,7623
(66 + 66) * 13,1716
(91 + 84) * (38 - 7),5425
69 + 79,148
(6 + 46) * 20,1040
69 * 38,2622
91 - 58,33
38^2,1444
50^2,2500
(74 + 27) * (77 - 44),3333
(14 + 69) * (31 - 27),332
92 + 15,107
74 + 18,92
(67 + 75) * 46,6532
12 * 85,1020
63 + 77,140
(82 + 95) * 67,11859
88 * 93,8184
79^2,6241
11 + 75,86
(83 + 79) * 11,1782
98 * 81,7938
53^2,2809
57 * 97,5529
80 + 26,106
16 + 94,110
44^2,1936
43^2,1849
(53 + 44) * 82,7954
(49 + 46) * 40,3800
96 + 52,148
16^2,256
29 + 17,46
(9 + 69) * 22,1716
79 + 76,155
90 + 37,127
68 + 21,89
72 * 61,4392
18 * 17,306
42^2,1764
81 + 100,181
42^2,1764
86 + 71,157
87 + 77,164
(39 + 29) * (94 - 32),4216
35 - 19,16
(41 + 36) * 77,5929
71^2,5041
25^2,625
71 + 46,117
(68 + 67) * 45,6075
22^2,484
51 * 81,4131
13 * 35,455
36 + 44,80
46 * 16,736
(50 + 73) * 99,12177
(39 + 85) * (38 - 33),620
54 + 94,148
47 / 47,1
76 * 54,4104
83 - 40,43
93 * 48,4464
18^2,324
(44 + 17) * 51,3111
55 + 10,65
43 + 79,122
29^2,841
59 * 16,944
49 * 36,1764
32 * 11,352
38^2,1444
(30 + 74) * 76,7904
(97 + 46) * (63 - 46),2431
(44 + 15) * (87 - 22),3835
74^2,5476
56 - 17,39
52 * 57,2964
78 + 78,156
(50 + 46) * 28,2688
76 * 54,4104
14^2,196
86^2,7396
20 * 59,1180
47 + 101,148
63^2,3969
16 + 48,64
64 - 53,11
(11 + 20) * 99,3069
23 * 88,2024
97 + 93,190
57 * 95,5415
(44 + 58) * 49,4998
9^2,81
54 * 18,972
16 * 87,1392
99 - 21,78
15 + 76,91
(37 + 75) * (36 - 7),3248
73 + 101,174
64 - 32,32
93 * 23,2139
